country,founded,id,industry,linkedin_url,locality,name,region,size,website
united states,,og5zJgeEWrj8w2mkpBdQBguTH2GP,legal services,linkedin.com/company/john-basinger,salisbury,john basinger,north carolina,1-10,johnbasingerlaw.com
united states,,z4MfZ7b6yyjEpJ4blNojwQPyU8Sc,law practice,linkedin.com/company/my-family-lawyer,mckinney,puhl law group pc at myfamilylawyer.net,texas,1-10,myfamilylawyer.net
brazil,,KOOjBQFIhA89BGUysclqMQ6YbdQc,law practice,linkedin.com/company/medeirosresende,manaus,medeirosresende,amazonas,1-10,medeirosresende.com.br
canada,,GArGqWz59QyOyWLGNCN36wiPtUeU,,linkedin.com/company/dhillon-law,mississauga,dhillon law,ontario,1-10,dhillonlaw.ca
united states,2010,aQvltqn50evTprPNC4yt0w0kdI8u,law practice,linkedin.com/company/hayden-&-craig-pllc,louisville,hayden & craig pllc,kentucky,1-10,haydencraiggrant.com
brazil,,uRlPTo75IvtnDusMUjrkkQerDvMC,law practice,linkedin.com/company/milman-e-barros-advogados,,milman e barros advogados,rio de janeiro,1-10,mbb-advogados.com.br
united states,,kVZ1nzTiH2idZ1rYzPaCZA8zY9oq,legal services,linkedin.com/company/robert-s.-havens,los angeles,robert s. havens,california,1-10,hurtworker.com
brazil,2010,eNHT5RwwiLLhQPN1bIDR1gZ6nfbs,law practice,linkedin.com/company/tib-rcio-&-rocha---sociedade-de-advogados,belo horizonte,tibúrcio & rocha  - sociedade de advogados,minas gerais,1-10,
united kingdom,2009,gAohYdNVEbZKCVe3mNOmYA4RZX4Z,legal services,linkedin.com/company/packs-back,,packs back,,201-500,
germany,,NldOaKQRrUMPBqJQNp6J1gpopzA6,law practice,linkedin.com/company/johann-und-eck,,johann und eck,,1-10,johann-eck.de
united states,,iWSfJ1MBduJGQhJRsUT30QA5sdBx,facilities services,linkedin.com/company/lewis-lawn-&-labor,west des moines,lewis lawn & labor,iowa,1-10,
united states,1996,T2YWu0mLTjQF7dxSmMl8UgJ5RxgY,law practice,linkedin.com/company/dennis-hernandez-&-associates-pa,tampa,"dennis hernandez & associates, pa",florida,11-50,dennishernandez.com
,,7oMxJwp50CwVlvgm7YkBEAT35QGL,professional training & coaching,linkedin.com/company/4law,,4law,,1-10,4law.com.br
india,2023,07UuFhcnX91miDQuUAeVFQ3G3dwC,e-learning,linkedin.com/company/the-law-tales,,the law tales,madhya pradesh,1-10,thelawtales.com
spain,,MHQiCHVi4dCf5iVC4mu7Dw4bnSOX,legal services,linkedin.com/company/asensio-abogados,ciudad real,asensio abogados,castilla-la mancha,1-10,asensioabogados.net
senegal,2020,02Rv3BRGYiozjwCK6xrEwg1H1ylz,legal services,linkedin.com/company/leagal-eyes,ouakam,le@gal'eyes 360 sasu,dakar,1-10,leagal-eyes.com
united kingdom,,GNdf2REcF86pqi7DPoNHhAQQpQ4F,legal services,linkedin.com/company/cps-legal-services-limited,yapton,cps legal services limited,england,1-10,
united states,,1oGrt4ub6ZuhBpxRwAdMCgsdl6ps,legal services,linkedin.com/company/liening-edge,corona,liening edge,california,11-50,lieningedge.com
brazil,2019,UoBeZK3nfe88JAXiqkTgXgim5YMc,law practice,linkedin.com/company/santiago-associados,manaus,santiago & associados,amazonas,1-10,brunosantiago.adv.br
australia,1989,HayyRGHsG9KpyW6bdidmWw5JFAfM,legal services,linkedin.com/company/environmental-defenders-office-qld-,west end,environmental defenders office (qld),queensland,1-10,
united states,2017,oe7zqLYQdbw5gETXPlDXOgQXNOMC,medical practice,linkedin.com/company/cros-counseling-&-consultants-llc,wellington,cros counseling & consultants llc,florida,1-10,
australia,,9abDWUUCXWZs4S5exY7uCgKJmROt,legal services,linkedin.com/company/jonathan-darcy-&-co,artarmon,jonathan darcy & co,new south wales,1-10,darcyandco.com.au
united states,,e0fEp6ICJjhoxOkmHxZ4TAsVFSYm,,linkedin.com/company/hope-is-love-counseling,goose creek,hope is love counseling,south carolina,1-10,hopeislovecounseling.com
united states,,ugYBsB1QZ79zGrT4t6yAXw5r3hCV,,linkedin.com/company/health-&-wellness-counseling-center,washingtonville,health & wellness counseling center,new york,1-10,healthandwellnesscounselingcenter.com
india,,DyIB89zwTYI2mdTHuYCWSAwNVuZN,real estate,linkedin.com/company/esquire-realtors-private-limited,,esquire realtors private limited,delhi,1-10,
united states,2023,HyqT3NBJtyQEbJCClK8TUw4xMljR,law practice,linkedin.com/company/law-office-of-j-a-poynter,,law office of j. a. poynter,texas,1-10,lawofficeofjapoynter.com
brazil,,r184pajjIhCBjng7SuRdAQqN5hJt,legal services,linkedin.com/company/fernandes-e-advogados,são paulo,fernandes e advogados,são paulo,1-10,fernandeseadvogados.com.br
,,3uGpsaod3SALbN5rVMliZARUO9N7,law practice,linkedin.com/company/centrojurídicodelasamericas,,centro jurídico de las américas,,201-500,centrojuridicodelasamericas.com
united states,,27Q5VdFb9brCsQFxRZp1PglMOwbR,hospital & health care,linkedin.com/company/delaware-arthritis-&-osteoporosis-center,newark,delaware arthritis & osteoporosis center,delaware,1-10,delawarearthritishelp.com
united states,2010,Jqb3ouTpwJP2JvXyrcqRGwZK8VZ8,law practice,linkedin.com/company/bailey-&-poarch,norman,bailey & poarch,oklahoma,1-10,baileyandpoarch.com
chile,2022,vP0Gw5D2eaRGb0ypsoTBqgeztfcV,law practice,linkedin.com/company/urenda-león-rivas-darraidou,,urenda león rivas & darraidou abogados,,1-10,ulrd.cl
united states,,POKgyT5MyHPk4SdYGp0vEw4NWMox,legal services,linkedin.com/company/scp-descois-chesnoy-laurent,springfield,scp descois chesnoy laurent,ohio,11-50,
iceland,,Fv0pLJx6ULmcOHE2LOcirwRUyMtH,law practice,linkedin.com/company/consultoria-jurídica-maron,reykjavík-10,consultoria jurídica maron,,1-10,
spain,,hZibol1t2SnLY7t7pa363AUi7RdW,legal services,linkedin.com/company/morenodavila-&-carrera-abogados-slp,granada,morenodavila & carrera abogados slp,andalusia,1-10,
australia,,bYrgLPekdXp9GzBmRNHdtgTmJVJ7,legal services,linkedin.com/company/rise-lawyers-pty-ltd,canberra,rise lawyers pty ltd,australian capital territory,1-10,riselawyers.com.au
netherlands,,o8Xdcw59xxkrcx0l0kle0gTcjjzn,legal services,linkedin.com/company/signum-notariaat,aalsmeer,signum notariaat,north holland,11-50,signumnotariaat.nl
united states,1989,og121F0lHCB4rCqeehF1EgeLL1fK,mental health care,linkedin.com/company/counseling-&-psycotherapy-center,needham heights,counseling & psychotherapy center,massachusetts,51-200,cpcamerica.com
india,2023,ynj2p5N5gBqAdiR263yc7QkqXpXO,law practice,linkedin.com/company/rameshvaram-legal,,rameshvaram legal,rajasthan,1-10,
united states,2008,x5vVSGZkBFJiGeNW49CLjQdABx1Y,non-profit organization management,linkedin.com/company/palm-beach-county-law-enforcement-exchange-incorporated,jupiter,palm beach county law enforcement exchange incorporated,florida,1-10,
,2022,2oVPLMB88CWJ7k1COCw5Ug4sOkXS,legal services,linkedin.com/company/sigma-abogados-y-consultores,,sigma abogados y consultores,,1-10,
pakistan,2017,MfI9kOu7p5Ar2B51BU5zUwUrrCyu,law practice,linkedin.com/company/women-in-law-initiative-for-young-lawyers-pakistan,karachi,women in law-initiative by young lawyers,sindh,201-500,womeninlaw.com.pk
united states,,OBhcXG46TWC2LJBuABcH8A7Rbc6T,law practice,linkedin.com/company/clm-law-group-pc,lansing,"clm law group, p.c.",illinois,1-10,clmlawgroup.com
brazil,,Hed4xTU509CoKB3tmdmzSg6qLTkT,legal services,linkedin.com/company/vetjus,porto alegre,vetjus,rio grande do sul,1-10,vetjus.com.br
canada,,QrQSXfbJGb1GAPfYH5rYAQFxksmI,legal services,linkedin.com/company/optima-services-paralegal,montréal,optima services paralegal,quebec,1-10,optimaservicesparalegal.com
,,7y3owgjrnuYWVKCsWip6aAovTtPD,internet,linkedin.com/company/lawstats,,lawstats,,1-10,lawstats1.com
united states,,zCZgzcrdlebdi3Pkz1LxnQpCuqqS,legal services,linkedin.com/company/braukmann-law-pllc,billings,"braukmann law, pllc",montana,1-10,braukmannlaw.com
canada,,CqUStlZpjcaRJHB5n5JSKgZyIwFO,legal services,linkedin.com/company/jackman-&-rowles,guelph,jackman & rowles,ontario,1-10,jackmanandrowles.ca
canada,2016,ZNLJWRxprCuG9chXqDA6sgQ8lfm9,law practice,linkedin.com/company/pawlina-law,toronto,pawlina law,ontario,1-10,pawlina.ca
united states,,JyE4IiPTnrOdWFTU1Bb3qwI2cvfq,,linkedin.com/company/craig-j.-landry-attorney,houma,"craig j. landry, attorney",louisiana,1-10,craiglandry.com
united states,,plV8K4GLRLjm1aCKABwiuQPDqzhn,government administration,linkedin.com/company/clark-county-district-attorney's-office,north las vegas,clark county district attorney's office,nevada,501-1000,
,,F2fNNWsyTWat4Wk7vsYMqwcbQ9Ty,legal services,linkedin.com/company/legaldirectory-ai,,legal directory ai,,1-10,
united kingdom,,ZdtCGkR7CRVwCjTmwjQMdgNNTvVT,legal services,linkedin.com/company/ksd-solicitors,harrow,ksd solicitors,england,1-10,ksdsolicitors.co.uk
spain,,DhTgTLmJZ5gFoDTPc2Xw2wgaW0Ci,legal services,linkedin.com/company/gdp-concursal-slp,oviedo,gdp concursal slp,asturias,1-10,
italy,1982,JHOzUCsvXNUYdGlkPWm4nggg65fS,law practice,linkedin.com/company/avvocato-alberto-franchi,verona,avvocato alberto franchi,veneto,1-10,avvocatoalbertofranchi.it
peru,2017,4VCy2oUKwWx8QbC2bwPyxQlgG2oH,legal services,linkedin.com/company/grupo-credicob,miraflores,credicob abogados&consultores,lima,11-50,credicob.com.pe
australia,,EeXQZyOJhHIfOwgQngUWRQakioir,medical practice,linkedin.com/company/maria-hull-noosa-counselling,sunrise beach,maria hull noosa counselling,queensland,1-10,counsellingatnoosa.com
united states,,BmCCVGMdg6Cavw9qeBksowM8yGNU,legal services,linkedin.com/company/law-offices-of-mark-r-walling,buffalo,law offices of mark r walling,new york,1-10,wallinglaw.com
,,L7FAgvx4M0JROqTIHcj5EQJb6zfP,legal services,linkedin.com/company/lexter,,lexter,,1-10,
,2023,XVwM2LM76LJOa8nupcILiAQF9UEd,law practice,linkedin.com/company/selarl-jérôme-lacrouts-avocats,,selarl jérôme lacrouts avocats,,1-10,lacrouts-avocats.fr
,,u9Z3KPCkAU25uXyRbXCPZAemhUiN,law practice,linkedin.com/company/clen-co-advocaten,,clen & co. | advocaten,,1-10,
united states,1981,MeUa4tsCGEoLNxuGdpB7cgJr8GfA,legal services,linkedin.com/company/prescott-legal-search,houston,prescott legal search,texas,11-50,prescottlegal.com
france,,7w2H4XO727ResfQWhIuC7gaxIb1p,civic & social organization,linkedin.com/company/revue-esquisses,paris,revue esquisses,île-de-france,1-10,
united states,1971,CQdzMbPW8YOcBCBVCwFyyQkwpTgx,law practice,linkedin.com/company/watanabe-ing-&-komeiji-llp,honolulu,watanabe ing llp,hawaii,11-50,wik.com
,,GJvFA04LFkC4xrKmrSQdCQJGjUTn,graphic design,linkedin.com/company/slawomira-hatlas-weber---graphic-design-&-consultation,,slawomira hatlas weber - graphic design & consultation,,1-10,
united states,,gRbQrdzDM3ZeA0fKPCwPywFZvHhu,law practice,linkedin.com/company/thompson-law-firm-pc,knoxville,thompson law firm pc,tennessee,11-50,
brazil,2011,JM2gWlbpnPq3uRCfCYsmmwfi9QAf,legal services,linkedin.com/company/bezerraeduarteadvocacia,salvador,bezerra & duarte advocacia e consultoria,bahia,1-10,bezerraeduarte.com.br
united states,,H4IY1Ff8QsGHzDOo4BjCWgmr38R9,legal services,linkedin.com/company/maydanik-law-firm,milpitas,maydanik law firm,california,1-10,lawyervictoria.com
iceland,1988,UDBqlw7OxjJKekTcuu1o9gAnkvs7,think tanks,linkedin.com/company/associação-mário-tannhauser-de-ensino-pesquisa-e-assistência,akureyri,"associação mário tannhauser de ensino, pesquisa e assistência (amtepa)",akureyri,11-50,
,,kuYIO8kFqGxnN5z3AWcAKAMW25pE,legal services,linkedin.com/company/grupo-soluciones-legales,,grupo soluciones legales,,11-50,
spain,2013,la6rHzt280ZhkAaIAF7h2AfWxwi9,legal services,linkedin.com/company/credilex-global-recovery,madrid,credilex global recovery,community of madrid,11-50,credilex.com
united states,,PdF0rlCTaV0Sp7lsto7cOQrA2Pwp,marketing and advertising,linkedin.com/company/willis-lawn-care-inc,lexington,willis lawn care inc,kentucky,1-10,
united states,,vjYWLTySCvAm7WhBKowX9QLNQdu1,law practice,linkedin.com/company/tindall-&-foster-p.c.,,"tindall & foster, p.c.",,51-200,
united states,,YcfjrhIxsGdnqJhf1fKh1wzMZrkx,law practice,linkedin.com/company/ulibarri-law-office,albuquerque,ulibarri law office,new mexico,1-10,out4justice.com
united states,,h3TViSBcUdhrgzmpBFmGBQIqaUUr,legal services,linkedin.com/company/j-michael-solar,houston,j michael solar,texas,11-50,solarlaw.com
united kingdom,,THtqBxnwVFrvFBZyCcfV7gJdCkKA,real estate,linkedin.com/company/lawson-street-apartments-limited,urmston,lawson street apartments limited,england,1-10,
spain,1985,zPXEyh6tkPJYuBewPeKHsw0R1PtL,law practice,linkedin.com/company/fernández-fernández-abogados,málaga,fernández&fernández abogados,andalusia,1-10,ffabogados.es
,,OTB3R75tJewYukt2WueYbQbucaY2,legal services,linkedin.com/company/bandeira-advocacia-assessoria-juridica,,bandeira advocacia & assessoria jurídica,,1-10,wa.me/message/hckugehs7sxqi1
united states,1992,VM9BC2olQeBaCTuok5CkZgGuRAtV,law practice,linkedin.com/company/david-r-payne-p-a-,asheville,"david r. payne, p.a.",north carolina,1-10,drplawfirm.com
united states,,NMovBcthQBqtw2BeQvavGQ2FIkn5,,linkedin.com/company/law-offices-of-justin-c.-caramagno-p.a.,portsmouth,"law offices of justin c. caramagno, p.a.",new hampshire,1-10,
united states,,HfSZcDEBIhnt4qTfQndZvAKCMStw,medical practice,linkedin.com/company/cumberland-counseling-llc,cumberland,"cumberland counseling, llc",rhode island,1-10,
united states,,hjikdzXvEoSBHj2beA19CALk7oyd,,linkedin.com/company/law-offices-of-joseph-miller-llc,fairbanks,"law offices of joseph miller, llc",alaska,1-10,
united states,2018,VQFqa7EQbAn6inbwyW1PAwrIUkNB,mental health care,linkedin.com/company/chronic-health-counseling-pllc,charlotte,"chronic health counseling, pllc",north carolina,1-10,chronichealthnc.com
canada,1989,TRauwr8QZwFnQL9njwFi9giydfXl,legal services,linkedin.com/company/brazeauseller.llp,ottawa,brazeauseller.llp,ontario,11-50,
united states,2017,lBiUyRkFKNS7CFJXYCouxAi4Jduw,legal services,linkedin.com/company/philadelphia-mobile-notaries-llc,philadelphia,"philadelphia mobile notaries, llc",pennsylvania,1-10,philadelphiamobilenotaryservice.com
,,YQC5sCKli7S0NZDxIoWmhwP1yWn4,legal services,linkedin.com/company/k4-brands-registro-de-marcas,,k4 brands registro de marcas,,1-10,k4brands.com.br
united states,2019,D6jDRsqDvtaCRZ7pRtNPLQ3QDZzj,legal services,linkedin.com/company/yahweh-meds-legal-llc,philadelphia,yahweh meds legal llc,pennsylvania,11-50,yahwehmedslegal.com
brazil,,OrUwiQegbVKl2FzgCe2E9wkebXph,research,linkedin.com/company/ipespe-inst-de-pesquisas-sociais-politicas-e-economicas,recife,ipespe inst de pesquisas sociais politicas e economicas,pernambuco,1-10,
malaysia,,OCtvsh94Z1D17wMdJKCCKwv6XsOw,legal services,linkedin.com/company/alipa-ip,kuala lumpur,alipa ip (abeed legal & ip attorneys),kuala lumpur,11-50,alipaip.com
,2006,DYe9xpWBGVdiu8K0BNoJ4giT6MuK,legal services,linkedin.com/company/advocacia-carlos,,advocacia carlos,,1-10,
united kingdom,2007,JVGy1BkesOwVllc9JInfdQgLqxmV,law practice,linkedin.com/company/virtual-law,london,virtual law,england,11-50,virtuallaw.eu
united states,2001,QgXoTMYeZwg0bBFpYkEWEw3Atl3a,law practice,linkedin.com/company/harbor-offshore-marine-inc,galveston,"harbor offshore marine, inc.",texas,1-10,harboroffshore.com
united states,,vhXYWjPpNPnydwqA7rz47AvpfGtC,medical practice,linkedin.com/company/rachel-dack-counseling,bethesda,rachel dack counseling,maryland,11-50,racheldack.com
italy,,7UuDboOBtEJSci6EF0ogHwNuZDTz,law practice,linkedin.com/company/biffi-harisson-legal-analytics,ruà,biffi legal analytics,piedmont,1-10,
united states,,gRX5Lb2sgCU7nmL5Wx1s4gr7LvZA,individual & family services,linkedin.com/company/aspects-of-life-counseling-services-llc,aiea,aspects of life counseling services llc,hawaii,1-10,hawaiicounselingtherapy.com
belgium,,0c53CqV8c63KtxEuAGUYowPr6z4a,legal services,linkedin.com/company/k-&-o-legal,lubbeek,k & o legal,flanders,1-10,
united states,,aBrQh53chLXU6alsKFsQKwC1o8Ug,,linkedin.com/company/law-office-of-samantha-z.-smith-pa,westminster,"law office of samantha z. smith, pa",maryland,1-10,
ireland,,wdev3DuOkZpIZBAa2MRXBwHWhhHY,legal services,linkedin.com/company/hugh-mccabe-solicitors,dublin 8,hugh mccabe solicitors,leinster,1-10,hughmccabesolicitors.ie
australia,,M0SvoN4E2QacezZfiZQkpw5NV8QT,legal services,linkedin.com/company/rangi-lawyers,thomastown,rangi lawyers,victoria,1-10,rangilawyers.com.au
united states,,kjuG66eB15CuLhCEBszjEQ2C625p,,linkedin.com/company/personal-injury-and-workers-comp-attorney,portland,personal injury and workers comp attorney,oregon,1-10,portlandpersonalinjuryattorney.weebly.com
united states,2019,wOc6CrhkVkVDyioLmMuc7AFKMsEs,legal services,linkedin.com/company/presidio-legal,san francisco,"presidio legal, p.c.",california,11-50,presidio.legal
united states,,9qejGE9o2GgqL3Z0tb3oMAXtdRwX,facilities services,linkedin.com/company/pristine-lawncare,euless,pristine lawncare,texas,11-50,pristine-lawncare.com
united states,,TzoRORunlLmwd4IQgBM03QBvUnc9,,linkedin.com/company/rooted-counseling-services-llc,,"rooted counseling services, llc",pennsylvania,1-10,
germany,1974,5pcLzQT9tG6cX7MwojUmywwplgsZ,law practice,linkedin.com/company/kador-und-partner,münchen,kador & partner,bavaria,11-50,kadorpartner.de
brazil,,dmPpPSZD52RDKZVveVBlWwiQvASV,law practice,linkedin.com/company/coletti-e-cintra-advogados-associados,campo mourão,coletti e cintra advogados associados,paraná,1-10,colettiecintra.com.br
united states,,D2d2n2LqMBSXAgO0nyCgow4m9MxP,,linkedin.com/company/han-&-park-law-group,buena park,han & park law group,california,1-10,hanparklaw.com
mexico,,Yh63s6PGvZMzyY8Q7tusTg1nTa0N,legal services,linkedin.com/company/pfgabogados,,"páramo, fernández y garza, abogados",nuevo león,51-200,pfgabogados.com
germany,,58LECGDrseCf7IJhKj3rxgDnsCRz,legal services,linkedin.com/company/leanrealestate,frankfurt am main,jurabyte gmbh,hesse,1-10,juraspeech.com
united states,,ymEV5Bb2ZvhjhD5ePgXj0gepL7D2,,linkedin.com/company/riverdale-therapy-&-counseling-services,bronx,riverdale therapy & counseling services,new york,1-10,riverdaletherapyandcounseling.com
,,SD0NOCCNqTi5sGOUTmqvSQ2jHsUk,law practice,linkedin.com/company/daadline,,daadline,,1-10,daadline.com
united states,,gfb74CaM7CtuFri3dV2IfgZAlEDT,,linkedin.com/company/dr.-lawrence-a.-higgins,new york,dr. lawrence a. higgins,new york,1-10,drlarryhiggins.com
united states,,nancnmVqd0sm4V53doUB3AXKkwU8,legal services,linkedin.com/company/delcastle-tennis-center,wilmington,delcastle tennis center,delaware,1-10,virtualtennisladder.com
united states,,JLBHZZ6LduuXIGxumyTLOghsfMbs,legal services,linkedin.com/company/caldwell-everson,houston,caldwell everson,texas,11-50,houstoncorporateattorney.net
,,F8ubkdJr8cCwOioYhhZIZA6HIWFI,legal services,linkedin.com/company/outwest-legal,,outwest legal,,1-10,outwestlegal.com.au
united states,2020,TJEaDQNahC8hNFR7gw8apAUTdVvc,legal services,linkedin.com/company/rrc-law-group,la jolla,rrc law group,california,1-10,rrclawgroup.com
united states,,Zr7rh1mCRGiV1U1mkvxFcw59iTZz,legal services,linkedin.com/company/mysliwicz-&-dickson,mansfield,mysliwicz & dickson,massachusetts,1-10,legalattorneymansfield.com
united states,2009,d0nI5hToidNH2dhnE4VCfATFgX3X,legal services,linkedin.com/company/s&l-government-contract-specialists,granite bay,s&l government contract specialists,california,1-10,stategovcontracts.com
united states,,g8a5BWdRz63EcA5NHcGmnQSwg3pA,mental health care,linkedin.com/company/crossroads-counseling-center-inc.,winchester,"crossroads counseling center, inc.",virginia,1-10,crossroadsvirginia.com
united states,,xh5PSgC091h9KL68dpUQOQ6qePT2,law practice,linkedin.com/company/cgattorneysatlaw,concord,c&g attorneys at law,california,1-10,cgattorneysatlaw.com
hungary,,kXUOCZ7RO4ChYzYCOo9fzgS7m9Cc,law practice,linkedin.com/company/estudio-s-&-r,budapest,estudio s & r,budapest,1-10,estudiospinazzola.com
germany,,cKYtUzpY3KfLYKG1CpsY4g2zXDSZ,legal services,linkedin.com/company/notariat-schmitz-&-heinze,düren,notariat schmitz & heinze,north rhine-westphalia,1-10,notarschmitz.de
united states,,6efY4UimCMdc9Xmmvce58QTQvP8I,law practice,linkedin.com/company/wilkes-atkinson-joyner,spartanburg,"wilkes atkinson & joyner, llc",south carolina,11-50,wilkeslaw.com
brazil,,IA5hKaNmWxf1hgEk4Bsf1Aw6BwQs,individual & family services,linkedin.com/company/the-best-pesquisas,jaciara,the best pesquisas,mato grosso,1-10,thebestpesquisas.com
united states,2018,uQiclVR1h3aJDOcaCGufdwAhPWt0,law practice,linkedin.com/company/sarah-rasheed-law,brooklyn,sarah rasheed law,new york,1-10,sarahrasheed-law.com
united states,2021,BsHB83UYrrHHzBDpnlP5cwsPLeVd,law practice,linkedin.com/company/koc-law-llc,kansas city,koc law llc,missouri,1-10,kkoclaw.com
united states,,RKUeubmhmqQDltowmgZiqwq4Lue5,,linkedin.com/company/all-american-lawn-services-inc,aurora,all american lawn services inc,colorado,1-10,
united states,2010,jHd5v7SIIF6BN3NwaPAy2wb74oAs,real estate,linkedin.com/company/century-21-lawrie-lawrence,mooresville,century 21 lawrie lawrence,north carolina,11-50,
brazil,,hk7yBPbBlZQpjev0stF3DQb4JXIS,law practice,linkedin.com/company/machado-mazzei-e-pinho-advogados-associados,vitória,machado mazzei e pinho advogados associados,espírito santo,1-10,
cape verde,1996,ebLmBYrrAH5mBXgqaPBlxwclwTRg,legal services,linkedin.com/company/d-hopffer-almada-associados,santiago,d.hopffer almada & associados,santa cruz,11-50,dhopfferalmada.cv
united states,,XDCvB1nNt4eKesYu9pPtqg7VgYnR,law practice,linkedin.com/company/kim-l.-lawrence-pc,,kim l. lawrence pc,,1-10,kimlawrencepc.com
russia,,HtNJOWPXeislVhzgCws1ewKXYBn0,legal services,linkedin.com/company/ig-seismic-services-plc-igss-,moscow,ig seismic services plc (igss),moscow,1-10,igseis.com
united states,,VwxuO3tuAYUb9hRNrPBTVwi2fFMw,education management,linkedin.com/company/mother-of-good-counsel-school,los angeles,mother of good counsel school,california,1-10,
united states,,XknXFK6omQYKEG3En1iIuwGgXtmO,legal services,linkedin.com/company/silvester-law-office,concord,silvester law office,california,1-10,silvesterlawoffice.com
united states,,Ryl49QE7FCwzwp2npHCnTw0z6Tsd,legal services,linkedin.com/company/maczon-reporting,miami,maczon reporting,florida,1-10,
france,2017,9IaCvkkUwBBy4OlBXJW5zAp7enO9,law practice,linkedin.com/company/baudet-avocats,paris,baudet avocats,île-de-france,1-10,baudet-avocats.fr
australia,,Svv5DXYZxaLQ2JpgZevviwU8zgEd,law practice,linkedin.com/company/family-law-pathways-network-act-region,canberra,family law pathways network (act & region),australian capital territory,1-10,
brazil,2003,u3R3XA65Hy3lQRCmZ9gaHQJrNZsN,legal services,linkedin.com/company/soares-siqueira-advocacia,taubaté,soares siqueira advocacia,são paulo,1-10,escritoriossadv.com.br
,,lPaxywrkp9L9qlVI0dSqFAESVnBz,legal services,linkedin.com/company/sc-abogados,,sengoku & ciriaco,,11-50,
united kingdom,,NhuJroxcWukT6TdHNNGCqw4UH6c7,legal services,linkedin.com/company/oculaw-limited,eccleshall,oculaw limited,england,1-10,
united states,2022,5pUs8QeEmOBBAq9QibjSNgZYmZFD,law practice,linkedin.com/company/legafi,phoenix,legafi,arizona,1-10,legafi.com
ecuador,2023,crHOsCNwHBQD18GZskOHhQ0SA0Dg,legal services,linkedin.com/company/nissilegal,guayaquil,nissilegal sas,guayas,1-10,nissilegal.com
united states,,rCNT8jFX9siCr8QiTCZzZwHmI7iX,mental health care,linkedin.com/company/rasnic-counseling-pllc,allen,rasnic counseling pllc,texas,1-10,rasniccounseling.com
germany,,82B2kT1oRUYcsf3D9ahAZgmrJ2b4,legal services,linkedin.com/company/pfo-rechtsanwaelte,,"pöhlmann, früchtl, oppermann rechtsanwälte",bavaria,11-50,pfo-anwaelte.de
switzerland,,5NcCyirv0CkC2OovjGcJLgRXeVpi,legal services,linkedin.com/company/kancelaria-radcy-prawnego-ewa-górska,charmey,kancelaria radcy prawnego ewa górska,fribourg,1-10,kancelaria-radcy-prawnego-ewa-gorska.business.site
united states,2018,mYcelS5mFNnEOFClSSpIGQbA9iyy,mental health care,linkedin.com/company/cresscounseling,fishers,cress counseling & consultation services llc,indiana,1-10,believe-to-succeed.com
united states,,Aq9ytusATTA4n3IKTiAP9Q3v7EDx,law practice,linkedin.com/company/harnik-law-firm,new york,harnik law firm,new york,1-10,harnik.com
brazil,2016,EPUzrKaLlaBcVoxU0XbfUAyCtUeS,legal services,linkedin.com/company/pinheiro-advocacia-servidor-público,sorocaba,pinheiro advocacia - servidor público,são paulo,1-10,advpinheiro.com.br
,2017,zehbqLwrhVlqFX1Oc3OOjgluYww6,legal services,linkedin.com/company/ideb-institut-de-droit-européen-des-barreaux,,ideb - institut de droit européen des barreaux,,1-10,
france,2021,im1rqNKp93uBBG2pR34fKAmtB4E8,law practice,linkedin.com/company/möbius-avocats,paris,möbius avocats,île-de-france,1-10,mobius.law
united states,,BVrMwaJ0MltLKgsB0Z7KAwlC0rp7,,linkedin.com/company/law-offices-of-garrett-s.-flynn-llc,west hartford,law offices of garrett s. flynn llc,connecticut,1-10,flynn-law.com
united states,,bpuoQCrGvbdgIHmYdflPsQaRDQUt,retail,linkedin.com/company/champion-lawn-ornaments,champion,champion lawn ornaments,pennsylvania,1-10,championlawnornaments.com
united states,2016,TG2MFxNOB4BhdDcFQHuoGwz8Cdmc,mental health care,linkedin.com/company/pillars-of-hope-counseling,,pillars of hope counseling,oregon,1-10,pillarsofhopecounseling.com
united states,2015,CZnhg1BOzHIloOYepntJuwi3UwV7,law practice,linkedin.com/company/grogan-tuccillo-&-vanderleeden-llp,springfield,"grogan, tuccillo & vanderleeden, llp",massachusetts,11-50,gtv-ip.com
chile,,TG4mN1nbCy89EM9ayUCj6gen5yNk,financial services,linkedin.com/company/legal-chase,santiago,legal chase,santiago metropolitan,1-10,legalchase.cl
,,ZFriuCAxAmlSQPfcxo8mvQk0Aze8,marketing and advertising,linkedin.com/company/legalgrowth,,law firm hypergrowth podcast,,1-10,
united states,,aeGjmwWcIZt08iSCPoKezwdoXS09,,linkedin.com/company/law-offices-of-marshall-a.-entelisano-p.c.,tuscaloosa,"law offices of marshall a. entelisano, p.c.",alabama,1-10,entelisanolaw.com
ireland,,MnBfSokessBrRCRAwYBhpwPRw0TM,legal services,linkedin.com/company/daniel-g.-mcgrath-solicitors,tuam,daniel g. mcgrath solicitors,connacht,1-10,danielgmcgrath.com
brazil,,jt3xhFC0IwoFwM8oCHoBkAzCfa16,law practice,linkedin.com/company/fialho-silva-advogados,parauapebas,fialho & silva advogados,pará,1-10,facebook.com/fialhoesilvaadvogados
brazil,2021,4eXarCbKJukGPmaxRUi8uw62K5gp,law practice,linkedin.com/company/pires-advocacia,sertãozinho,pires advocacia,são paulo,1-10,linktr.ee/piresadvogada
